BIG_MESSAGE.EXTRACTION.ACTIVATED	提取点已激活
BIG_MESSAGE.EXTRACTION.COMPLETED	提取点已完成
FOCUS.EXTRACTION.FILL_VALUABLES	用贵重物品填满提取点
FOCUS.EXTRACTION.AVOID_GRENADES	躲避手榴弹！
FOCUS.EXTRACTION.FIND_NEXT	找到下一个提取点
FOCUS.EXTRACTION.BACK_TO_TRUCK	回到卡车那里！
TUTORIAL.TRANSITION_TEXT	干得好！
TUTORIAL.MOVEMENT.TEXT	按[W/S/A/D]来移动。
TUTORIAL.MOVEMENT.FOCUS_TEXT	移动来填满进度条！
TUTORIAL.MOVEMENT.DUMMY_TEXT	在键盘上按[W/S/A/D]，直到进度条填满！
TUTORIAL.JUMPING.TEXT	按[空格]来跳跃。
TUTORIAL.JUMPING.FOCUS_TEXT	跳跃来填满进度条！
TUTORIAL.JUMPING.DUMMY_TEXT	按[空格]来跳跃直到进度条填满！
TUTORIAL.SNEAKING.TEXT	按[Ctrl]来潜行。怪物更难看见你。
TUTORIAL.SNEAKING.FOCUS_TEXT	潜行来填满进度条！
TUTORIAL.SNEAKING.DUMMY_TEXT	按住[Ctrl]并使用[W/S/A/D]直到进度条填满！
TUTORIAL.HIDING.TEXT	按[Ctrl]来躲在东西下面藏匿。
TUTORIAL.HIDING.FOCUS_TEXT	隐藏来填满进度条！
TUTORIAL.HIDING.DUMMY_TEXT	按住[Ctrl]并走到道具下面，停留在那里直到你填满进度条！
TUTORIAL.SPRINTING.TEXT	按住[Shift]来冲刺。这会消耗你的能量。
TUTORIAL.SPRINTING.FOCUS_TEXT	冲刺来填满进度条！
TUTORIAL.SPRINTING.DUMMY_TEXT	按住[Shift]并使用[W/S/A/D]来冲刺直到你填满进度条！如果能量用完了，等待它再生！
TUTORIAL.TUMBLING.TEXT	跑起来并按[Q]来帅气落地。跳跃也有帮助！
TUTORIAL.TUMBLING.FOCUS_TEXT	跑，跳，落下来填满进度条！
TUTORIAL.TUMBLING.DUMMY_TEXT	用[Shift]跑，用[空格]跳并按[Q]来把你自己扔出去。这么做直到你填满进度条！
TUTORIAL.GRABBING.TEXT	使用[鼠标左键]来抓取物体。
TUTORIAL.GRABBING.FOCUS_TEXT	携带那东西来填满进度条！
TUTORIAL.GRABBING.DUMMY_TEXT	在一个物体上按下并按住[鼠标左键]直到你填满进度条！
TUTORIAL.PUSHING_AND_PULLING.TEXT	使用[鼠标滚轮]来改变抓取物体的距离。
TUTORIAL.PUSHING_AND_PULLING.FOCUS_TEXT	改变一个已抓取物品的距离！
TUTORIAL.PUSHING_AND_PULLING.DUMMY_TEXT	在一个物体上按下并按住[鼠标左键]并使用[鼠标滚轮]来改变你抓取的物品的距离！
TUTORIAL.ROTATING.TEXT	使用[鼠标右键]来旋转已抓取的物体。
TUTORIAL.ROTATING.FOCUS_TEXT	旋转东西来填满进度条！
TUTORIAL.ROTATING.DUMMY_TEXT	当用[鼠标左键]拿着一个物体时，按下并按住[鼠标右键]并移动你的瞄准来旋转它。旋转直到你填满进度条！
TUTORIAL.ITEM_TOGGLING.TEXT	抓取并按[E]来开关物品。
TUTORIAL.ITEM_TOGGLING.FOCUS_TEXT	把那东西开开关关！
TUTORIAL.ITEM_TOGGLING.DUMMY_TEXT	用[鼠标左键]抓取那个球并使用[E]开关它直到你填满进度条！
TUTORIAL.INVENTORY_FILL.TEXT	抓取一个物品并使用[1]/[2]/[3]来把它放进你的物品栏。
TUTORIAL.INVENTORY_FILL.FOCUS_TEXT	填满你全部的物品栏！
TUTORIAL.INVENTORY_FILL.DUMMY_TEXT	当用[鼠标左键]拿着一个物品时，按[1]/[2]/[3]。填满你物品栏里的所有位置来完成进度条！
TUTORIAL.INVENTORY_EMPTY.TEXT	使用[1]/[2]/[3]来把物品从你的物品栏里取出来。
TUTORIAL.INVENTORY_EMPTY.FOCUS_TEXT	清空你全部的物品栏！
TUTORIAL.INVENTORY_EMPTY.DUMMY_TEXT	使用[1]/[2]/[3]并清空所有位置来填满进度条！
TUTORIAL.MAP.TEXT	使用[Tab]来查看地图。地图对导航来说是<b><u>重要</u></b>的。
TUTORIAL.MAP.FOCUS_TEXT	查看地图！
TUTORIAL.MAP.DUMMY_TEXT	按住[Tab]并查看它直到你填满进度条！
TUTORIAL.CART_HANDLING_1.TEXT	这是一辆C.A.R.T.。通过把手来抓取它。
TUTORIAL.CART_HANDLING_1.FOCUS_TEXT	和C.A.R.T.一起四处走走！
TUTORIAL.CART_HANDLING_1.DUMMY_TEXT	用[鼠标左键]通过把手抓取C.A.R.T.并和它一起四处走走直到你填满进度条！
TUTORIAL.CART_HANDLING_2.TEXT	用贵重物品填满C.A.R.T.。C.A.R.T.对携带更多的东西来说是<b><u>重要</u></b>的。
TUTORIAL.CART_HANDLING_2.FOCUS_TEXT	用贵重物品填满C.A.R.T.！
TUTORIAL.CART_HANDLING_2.DUMMY_TEXT	把三件物品放进C.A.R.T.里。
