MAIN.PRIVATE_GAME	私人游戏
MAIN.PUBLIC_GAME	公开游戏
MAIN.JOIN_FRIEND	加入好友
MAIN.SINGLEPLAYER	单人模式
MAIN.TUTORIAL	教程
MAIN.SETTINGS	设置
MAIN.QUIT_GAME	退出游戏
POPUP.PRIVATE_GAME.HEADER	主持游戏
POPUP.PRIVATE_GAME.BODY	拥有最好电脑的人做主机。\n\n你是吗？
POPUP.PRIVATE_GAME.OPT1	是的！ :)
POPUP.PRIVATE_GAME.OPT2	不是我...  :'(
POPUP.PUBLIC_GAME.HEADER	警告
POPUP.PUBLIC_GAME.BODY	在与随机玩家玩游戏时，你可能会遇到骗子或真正刻薄的人...
POPUP.PUBLIC_GAME.OPT1	我理解
POPUP.PUBLIC_GAME.OPT2	不了谢谢 :(
POPUP.QUIT_GAME.HEADER	退出游戏
POPUP.QUIT_GAME.BODY	关闭游戏？
POPUP.QUIT_GAME.OPT1	是
POPUP.QUIT_GAME.OPT2	否
POPUP.SELF_DESTRUCT.HEADER	自我毁灭
POPUP.SELF_DESTRUCT.BODY	真的确定吗？
POPUP.SELF_DESTRUCT.OPT1	我完了
POPUP.SELF_DESTRUCT.OPT2	否
SAVES.GO_BACK	< 返回
SAVES.NEW_GAME	新游戏
SAVES.SINGLEPLAYER_MODE	单人模式
SAVES.MULTIPLAYER_MODE	多人模式
SAVES.HEADER	保存的游戏
SAVES.PAGE_INFO.HEADER	保存的游戏
SAVES.PAGE_INFO.DESCRIPTION	这是你所经历的所有乐趣，以及从你中断的地方重新开始的机会。
SAVES.SAVE_INFO.DELETE_SAVE	删除存档
SAVES.SAVE_INFO.LOAD_SAVE	加载存档
SAVES.SAVE_INFO.USE_BACKUP	使用备份
SAVES.SAVE_INFO.CURRENT_MOON	当前月相：
POPUP.MAIN_MENU.OPT1	是
POPUP.MAIN_MENU.BODY	退出到主菜单？
POPUP.MAIN_MENU.HEADER	主菜单
SAVES.SAVE_INFO.TOTAL_HAUL	总价值：
POPUP.LOAD_SAVE.HEADER	加载存档
POPUP.LOAD_SAVE.BODY	加载此存档？
POPUP.LOAD_SAVE.OPT1	是的！
POPUP.LOAD_SAVE.OPT2	否
POPUP.DELETE_SAVE.HEADER	删除存档
POPUP.DELETE_SAVE.BODY	你真的确定要永远删除这个存档吗？
POPUP.DELETE_SAVE.OPT1	是的！ :')
